"","play_id","game_id","home_team","away_team","posteam","posteam_type","defteam","side_of_field","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","time","yrdln","ydstogo","ydsnet","desc","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","extra_point_prob","two_point_conversion_prob","ep","epa","total_home_epa","total_away_epa","total_home_rush_epa","total_away_rush_epa","total_home_pass_epa","total_away_pass_epa","air_epa","yac_epa","comp_air_epa","comp_yac_epa","total_home_comp_air_epa","total_away_comp_air_epa","total_home_comp_yac_epa","total_away_comp_yac_epa","total_home_raw_air_epa","total_away_raw_air_epa","total_home_raw_yac_epa","total_away_raw_yac_epa","wp","def_wp","home_wp","away_wp","wpa","home_wp_post","away_wp_post","total_home_rush_wpa","total_away_rush_wpa","total_home_pass_wpa","total_away_pass_wpa","air_wpa","yac_wpa","comp_air_wpa","comp_yac_wpa","total_home_comp_air_wpa","total_away_comp_air_wpa","total_home_comp_yac_wpa","total_away_comp_yac_wpa","total_home_raw_air_wpa","total_away_raw_air_wpa","total_home_raw_yac_wpa","total_away_raw_yac_wpa","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_inside_twenty","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_inside_twenty","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_id","passer_player_name","receiver_player_id","receiver_player_name","rusher_player_id","rusher_player_name","lateral_receiver_player_id","lateral_receiver_player_name","lateral_rusher_player_id","lateral_rusher_player_name","lateral_sack_player_id","lateral_sack_player_name","interception_player_id","interception_player_name","lateral_interception_player_id","lateral_interception_player_name","punt_returner_player_id","punt_returner_player_name","lateral_punt_returner_player_id","lateral_punt_returner_player_name","kickoff_returner_player_name","kickoff_returner_player_id","lateral_kickoff_returner_player_id","lateral_kickoff_returner_player_name","punter_player_id","punter_player_name","kicker_player_name","kicker_player_id","own_kickoff_recovery_player_id","own_kickoff_recovery_player_name","blocked_player_id","blocked_player_name","tackle_for_loss_1_player_id","tackle_for_loss_1_player_name","tackle_for_loss_2_player_id","tackle_for_loss_2_player_name","qb_hit_1_player_id","qb_hit_1_player_name","qb_hit_2_player_id","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_id","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_id","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_id","solo_tackle_2_player_id","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_id","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_id","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_id","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_id","assist_tackle_4_player_name","assist_tackle_4_team","pass_defense_1_player_id","pass_defense_1_player_name","pass_defense_2_player_id","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_id","fumbled_1_player_name","fumbled_2_player_id","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_id","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_id","fumble_recovery_2_player_name","return_team","return_yards","penalty_team","penalty_player_id","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv"
"1","36",2019093000,"PIT","CIN","CIN","away","PIT","PIT",35,2019-09-30,900,1800,3600,"Half1",0,1,0,1,NA,0,"15:00","PIT 35",0,33,"C.Boswell kicks 63 yards from PIT 35 to CIN 2. A.Erickson to CIN 21 for 19 yards (J.Dangerfield).","kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.00137367959113161,0.162631509518862,0.00444072635822802,0.25417863378643,0.23308117414857,0.00365571302658065,0.340638563570199,0,0,0.814998475712213,-0.390882925497182,0.390882925497182,-0.390882925497182,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A.Erickson","00-0032543",NA,NA,NA,NA,"C.Boswell","00-0031136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",NA,"00-0030023",NA,"J.Dangerfield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",19,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"2","58",2019093000,"PIT","CIN","CIN","away","PIT","CIN",79,2019-09-30,895,1795,3595,"Half1",0,1,0,1,"1",0,"14:55","CIN 21",10,33,"(14:55) J.Mixon right tackle to CIN 25 for 4 yards (Te.Edmunds; M.Barron).","run",4,0,0,0,0,0,0,NA,NA,NA,NA,"right","tackle",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00150997595908471,0.176283713708825,0.00612893999967136,0.275625464475212,0.217631640396139,0.0036067913497125,0.319213474111356,0,0,0.424115550215031,-0.101481666937539,0.492364592434721,-0.492364592434721,0.101481666937539,-0.101481666937539,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.488895188022575,0.511104811977425,0.511104811977425,0.488895188022575,-0.000708411800284081,0.511813223777709,0.488186776222291,0.000708411800284081,-0.000708411800284081,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"00-0033897","J.Mixon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0034858","Te.Edmunds","PIT","00-0029670","M.Barron","PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"3","79",2019093000,"PIT","CIN","CIN","away","PIT","CIN",75,2019-09-30,857,1757,3557,"Half1",0,1,0,1,"2",0,"14:17","CIN 25",6,33,"(14:17) (Shotgun) J.Mixon up the middle to CIN 26 for 1 yard (B.Dupree).","run",1,1,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00169440664691576,0.181811950466139,0.00504788941634663,0.281273564965102,0.211071613726285,0.00396767927380361,0.315132895505408,0,0,0.322633883277492,-0.725378339427935,1.21774293186266,-1.21774293186266,0.826860006365473,-0.826860006365473,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.488186776222291,0.511813223777709,0.511813223777709,0.488186776222291,-0.0186110335280385,0.530424257305747,0.469575742694253,0.0193194453283226,-0.0193194453283226,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0033897","J.Mixon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",NA,"00-0032146",NA,"B.Dupree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"4","100",2019093000,"PIT","CIN","CIN","away","PIT","CIN",74,2019-09-30,813,1713,3513,"Half1",0,1,0,1,"3",0,"13:33","CIN 26",5,33,"(13:33) (Shotgun) A.Dalton pass short right to T.Eifert to CIN 40 for 14 yards (M.Barron).","pass",14,1,0,1,0,0,0,"short","right",13,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00195009067251682,0.211181424720791,0.0058940152478809,0.322216904247368,0.173219423437859,0.00406381675787966,0.281474324915704,0,0,-0.402744456150443,2.60842927057197,-1.39068633870931,1.39068633870931,0.826860006365473,-0.826860006365473,-2.60842927057197,2.60842927057197,2.92058331821968,-0.312154047647712,2.92058331821968,-0.312154047647712,-2.92058331821968,2.92058331821968,0.312154047647712,-0.312154047647712,-2.92058331821968,2.92058331821968,0.312154047647712,-0.312154047647712,0.469575742694253,0.530424257305747,0.530424257305747,0.469575742694253,0.0794679531801049,0.450956304125643,0.549043695874358,0.0193194453283226,-0.0193194453283226,-0.0794679531801049,0.0794679531801049,0.0875115332522262,-0.00804358007212136,0.0875115332522262,-0.00804358007212136,-0.0875115332522262,0.0875115332522262,0.00804358007212136,-0.00804358007212136,-0.0875115332522262,0.0875115332522262,0.00804358007212136,-0.00804358007212136,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0027973","A.Dalton","00-0030549","T.Eifert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",NA,"00-0029670",NA,"M.Barron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"5","124",2019093000,"PIT","CIN","CIN","away","PIT","CIN",60,2019-09-30,773,1673,3473,"Half1",0,1,0,1,"1",0,"12:53","CIN 40",10,33,"(12:53) (Shotgun) A.Dalton pass short middle to T.Boyd to PIT 45 for 15 yards (D.Bush; Te.Edmunds).","pass",15,1,0,1,0,0,0,"short","middle",5,10,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00164534013419365,0.113575641660403,0.00125067782835082,0.176268477014414,0.287468741313242,0.00363032882503597,0.416160793224362,0,0,2.20568481442152,1.08189964074546,-2.47258597945477,2.47258597945477,0.826860006365473,-0.826860006365473,-3.69032891131742,3.69032891131742,-0.250987565505719,1.33288720625118,-0.250987565505719,1.33288720625118,-2.66959575271396,2.66959575271396,-1.02073315860346,1.02073315860346,-2.66959575271396,2.66959575271396,-1.02073315860346,1.02073315860346,0.549043695874358,0.450956304125642,0.450956304125642,0.549043695874358,0.0365846083851451,0.414371695740497,0.585628304259503,0.0193194453283226,-0.0193194453283226,-0.11605256156525,0.11605256156525,-0.00749013855674074,0.0440747469418858,-0.00749013855674074,0.0440747469418858,-0.0800213946954855,0.0800213946954855,-0.0360311668697645,0.0360311668697645,-0.0800213946954855,0.0800213946954855,-0.0360311668697645,0.0360311668697645,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"00-0027973","A.Dalton","00-0033009","T.Boyd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0035525","D.Bush","PIT","00-0034858","Te.Edmunds","PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"6","148",2019093000,"PIT","CIN","CIN","away","PIT","PIT",45,2019-09-30,731,1631,3431,"Half1",0,1,0,1,"1",0,"12:11","PIT 45",10,33,"(12:11) J.Mixon up the middle to PIT 40 for 5 yards (M.Barron).","run",5,0,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00131096131967709,0.0745170315471687,0.000331333955418229,0.115212062433824,0.331293853510156,0.0033884412821338,0.473946315951622,0,0,3.28758445516698,0.0336269404787424,-2.50621291993351,2.50621291993351,0.793233065886731,-0.793233065886731,-3.69032891131742,3.69032891131742,NA,NA,0,0,-2.66959575271396,2.66959575271396,-1.02073315860346,1.02073315860346,-2.66959575271396,2.66959575271396,-1.02073315860346,1.02073315860346,0.585628304259503,0.414371695740497,0.414371695740497,0.585628304259503,0.00247171723716899,0.411899978503328,0.588100021496672,0.0168477280911536,-0.0168477280911536,-0.11605256156525,0.11605256156525,NA,NA,0,0,-0.0800213946954855,0.0800213946954855,-0.0360311668697645,0.0360311668697645,-0.0800213946954855,0.0800213946954855,-0.0360311668697645,0.0360311668697645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0033897","J.Mixon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",NA,"00-0029670",NA,"M.Barron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"7","169",2019093000,"PIT","CIN","CIN","away","PIT","PIT",40,2019-09-30,693,1593,3393,"Half1",0,1,0,1,"2",0,"11:33","PIT 40",5,33,"(11:33) A.Dalton sacked at PIT 49 for -9 yards (D.Bush).","pass",-9,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00142357035752844,0.0706653597637663,0.000351606521715685,0.109057032329293,0.353734708518833,0.00345365376660855,0.461314068742255,0,0,3.32121139564572,-1.97173235576148,-0.534480564172026,0.534480564172026,0.793233065886731,-0.793233065886731,-1.71859655555594,1.71859655555594,NA,NA,0,0,-2.66959575271396,2.66959575271396,-1.02073315860346,1.02073315860346,-2.66959575271396,2.66959575271396,-1.02073315860346,1.02073315860346,0.588100021496672,0.411899978503328,0.411899978503328,0.588100021496672,-0.0606948560019551,0.472594834505284,0.527405165494716,0.0168477280911536,-0.0168477280911536,-0.0553577055632948,0.0553577055632948,NA,NA,0,0,-0.0800213946954855,0.0800213946954855,-0.0360311668697645,0.0360311668697645,-0.0800213946954855,0.0800213946954855,-0.0360311668697645,0.0360311668697645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0027973","A.Dalton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0035525","D.Bush",NA,NA,"00-0035525","D.Bush",NA,NA,NA,NA,NA,NA,NA,NA,"PIT",NA,"00-0035525",NA,"D.Bush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"8","188",2019093000,"PIT","CIN","CIN","away","PIT","PIT",49,2019-09-30,650,1550,3350,"Half1",0,1,0,1,"3",0,"10:50","PIT 49",14,33,"(10:50) (Shotgun) A.Dalton pass short left to J.Mixon to PIT 46 for 3 yards (J.Haden, C.Sutton) [T.Watt].","pass",3,1,0,1,0,0,0,"short","left",-5,8,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00240507307258362,0.129759562118238,0.00126069248506862,0.207087872013622,0.349819307099479,0.00524723169421032,0.304420261516798,0,0,1.34947903988424,-1.05096002496564,0.516479460793618,-0.516479460793618,0.793233065886731,-0.793233065886731,-0.667636530590295,0.667636530590295,-1.91795188591643,0.866991860950789,-1.91795188591643,0.866991860950789,-0.751643866797526,0.751643866797526,-1.88772501955425,1.88772501955425,-0.751643866797526,0.751643866797526,-1.88772501955425,1.88772501955425,0.527405165494716,0.472594834505284,0.472594834505284,0.527405165494716,-0.0299213340528662,0.50251616855815,0.49748383144185,0.0168477280911536,-0.0168477280911536,-0.0254363715104286,0.0254363715104286,-0.0562059493510915,0.0262846152982252,-0.0562059493510915,0.0262846152982252,-0.023815445344394,0.023815445344394,-0.0623157821679897,0.0623157821679897,-0.023815445344394,0.023815445344394,-0.0623157821679897,0.0623157821679897,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"00-0027973","A.Dalton","00-0033897","J.Mixon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0033886","T.Watt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0027860","J.Haden","PIT","00-0033930","C.Sutton","PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"9","212",2019093000,"PIT","CIN","CIN","away","PIT","PIT",46,2019-09-30,609,1509,3309,"Half1",0,1,0,1,"4",0,"10:09","PIT 46",11,33,"(10:09) (Punt formation) K.Huber punts 34 yards to PIT 12, Center-C.Harris, fair catch by R.Switzer.","punt",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00348593602313805,0.162619146116825,0.00202244894186705,0.244684395177637,0.393651336990909,0.00649981016476872,0.187036926584856,0,0,0.298519014918595,0.0806866053142001,0.435792855479418,-0.435792855479418,0.793233065886731,-0.793233065886731,-0.667636530590295,0.667636530590295,NA,NA,0,0,-0.751643866797526,0.751643866797526,-1.88772501955425,1.88772501955425,-0.751643866797526,0.751643866797526,-1.88772501955425,1.88772501955425,0.49748383144185,0.50251616855815,0.50251616855815,0.49748383144185,0.0246773057673358,0.477838862790814,0.522161137209186,0.0168477280911536,-0.0168477280911536,-0.0254363715104286,0.0254363715104286,NA,NA,0,0,-0.023815445344394,0.023815445344394,-0.0623157821679897,0.0623157821679897,-0.023815445344394,0.023815445344394,-0.0623157821679897,0.0623157821679897,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0033562","R.Switzer",NA,NA,NA,NA,NA,NA,"00-0027103","K.Huber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"10","231",2019093000,"PIT","CIN","PIT","home","CIN","PIT",88,2019-09-30,602,1502,3302,"Half1",0,2,0,1,"1",0,"10:02","PIT 12",10,3,"(10:02) J.Conner left tackle to PIT 12 for no gain (A.Billings).","run",0,0,0,0,0,0,0,NA,NA,NA,NA,"left","tackle",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00567654406266567,0.204499598290434,0.012194303035048,0.316632109840882,0.183742703592437,0.00338094988645333,0.27387379129208,0,0,-0.379205620232795,-0.756550891961001,-0.320758036481583,0.320758036481583,0.0366821739257299,-0.0366821739257299,-0.667636530590295,0.667636530590295,NA,NA,0,0,-0.751643866797526,0.751643866797526,-1.88772501955425,1.88772501955425,-0.751643866797526,0.751643866797526,-1.88772501955425,1.88772501955425,0.477838862790814,0.522161137209186,0.477838862790814,0.522161137209186,-0.0214554141602596,0.456383448630554,0.543616551369446,-0.004607686069106,0.004607686069106,-0.0254363715104286,0.0254363715104286,NA,NA,0,0,-0.023815445344394,0.023815445344394,-0.0623157821679897,0.0623157821679897,-0.023815445344394,0.023815445344394,-0.0623157821679897,0.0623157821679897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0033553","J.Conner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",NA,"00-0033066",NA,"A.Billings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
